community_id,community_name,pagerank_sum,betweenness_sum,mean_in_degree
0,"Visão computacional, sinais e mídia",0.05056277411975968,0.01176636204229809,6.435383881735813
1,Visão computacional e IA central,0.1142210700733723,0.03445784751545171,12.072695346795435
2,Teoria computacional e biologia molecular,0.041248469349570056,0.0018117198558358825,5.415996425379803
3,Sistemas de informação e aplicações em saúde,0.0001763332311560357,1.2489440646287588e-08,1.6
4,Sistemas de informação e software,0.028281867664269215,0.0016411034847367766,4.5900060204695965
5,Inteligência artificial e teoria computacional,0.0840986688092975,0.011139631200819218,8.19629540534039
6,"Redes, comunicações e sistemas",0.09061070243687984,0.020389640917973996,8.760083594566353
7,Processamento de sinais e mecânica computacional,0.024325133563882724,0.0032406698680231953,4.285943775100401
8,"IA aplicada, mídia e ambiente",0.04109177313685092,0.004827397678912517,14.231921487603305
9,Visão computacional e computação gráfica,0.03941072879746268,0.006524718940039114,7.159755268524813
10,"IA, visão computacional e biologia molecular",0.03026888476464452,0.003974896670133268,5.0492610837438425
11,"Visão computacional, IA e sinais",0.10281149522534516,0.027381215423855694,9.432710034237555
12,IA e física atômica/molecular,0.05002504435528733,0.001280472285726416,11.021209386281589
13,"Redes, sistemas e hardware",0.03049286339865126,0.0037728897127788374,6.710877192982456
14,"IA, redes e sistemas de informação",0.015544503767338716,0.0031606259451320436,6.24049331963001
15,Teoria computacional e análise numérica,0.04069363615434657,0.002838340502118102,3.856578947368421
16,"Redes, IA e engenharia elétrica",0.044227224002055275,0.004060414840936172,5.766629711751663
17,"Redes, hardware e sinais",0.03087357064238782,0.0034540104972128082,5.159286946520989
18,"Sinais, visão computacional e sistemas",0.01596028403793107,0.002627823268375577,13.317214700193423
19,"Redes, IA e materiais",0.021855156901970294,0.003348215724507723,7.5268292682926825
20,Visão computacional e mecânica,0.00012197238593254846,2.081573441047931e-08,1.8181818181818181
21,"IA, sinais e redes",0.009970497451620472,0.0010494470106545758,3.9057239057239057
22,IA e teoria computacional,0.01100026766757022,8.766974982807099e-05,4.502196193265007
23,"Visão computacional, mídia e biofísica",0.009667784034762095,0.0015952924343336607,10.334834834834835
24,"Visão computacional, IA e sinais aplicados",0.005965021888825841,0.0010606232017793468,7.181614349775785
25,Visão computacional e sinais,0.009658783411093894,0.0008162849069065441,5.1248073959938365
26,Visão computacional e mídia,0.0015095634040804082,0.0003675677366769171,8.22689075630252
27,"Visão computacional, computação gráfica e controle",0.005124784575338234,7.673326981430765e-05,3.2857142857142856
28,"Teoria computacional, redes e matemática discreta",0.006357824615233573,0.00025166718486773425,4.43501326259947
29,"Redes, física não linear e engenharia biomédica",0.0056510693522790305,6.227283569244938e-05,6.386904761904762
30,Teoria computacional e mecânica computacional,0.0018961317622957312,5.7207917573210975e-06,4.489208633093525
31,"IA, estatística e sinais",0.003586680943448595,0.00021848516762368653,6.3076923076923075
32,"IA, geofísica e imagens radiológicas",0.001191636608417986,2.3867202128001823e-06,3.4705882352941178
33,Interação humano-computador e aplicações,0.0066682091239706875,5.469554846678515e-05,2.3833333333333333
34,"Redes, teoria computacional e gestão de sistemas",0.0100352936849717,0.00011829237878820432,4.625
35,Teoria computacional e análise numérica aplicada,0.0030586138223318367,1.6514509823460607e-05,3.9637305699481864
36,IA e imagens biomédicas,0.0007453132824964812,2.2518881565260024e-05,3.5283018867924527
37,"IA, engenharia elétrica e redes",0.004623699639634917,0.00012604540908190667,4.132404181184669
38,"Teoria computacional, análise numérica e geometria",0.0027204152187649717,0.0006375183076809751,3.647482014388489
39,"Visão computacional, ciências planetárias e geologia",0.0032239083850943906,7.50452267100895e-05,6.712328767123288
40,"IA, sustentabilidade e engenharia elétrica",0.0004423443093917128,1.6058645239871107e-07,1.878787878787879
